Angle, CurrentLapTime, Damage, DistanceFromStart, DistanceCovered, FuelLevel, Gear, LastLapTime, Opponent_1,Opponent_2,Opponent_3,Opponent_4,Opponent_5,Opponent_6,Opponent_7,Opponent_8,Opponent_9,Opponent_10,Opponent_11,Opponent_12,Opponent_13,Opponent_14,Opponent_15,Opponent_16,Opponent_17,Opponent_18,Opponent_19,Opponent_20,Opponent_21,Opponent_22,Opponent_23,Opponent_24,Opponent_25,Opponent_26,Opponent_27,Opponent_28,Opponent_29,Opponent_30,Opponent_31,Opponent_32,Opponent_33,Opponent_34,Opponent_35,Opponent_36,RacePosition, RPM, SpeedX, SpeedY, SpeedZ, Track_1,Track_2,Track_3,Track_4,Track_5,Track_6,Track_7,Track_8,Track_9,Track_10,Track_11,Track_12,Track_13,Track_14,Track_15,Track_16,Track_17,Track_18,Track_19,TrackPosition, WheelSpinVelocity_1,WheelSpinVelocity_2,WheelSpinVelocity_3,WheelSpinVelocity_4,Z,Focus_1,Focus_2,Focus_3,Focus_4,Focus_5,Acceleration,Braking,Clutch,Gear,Steering
-0.00878781,-0.982,0.0,4093.36,0.0,94.0,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,942.478,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.962,0.0,4093.36,0.0,94.0,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,942.478,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.942,0.0,4093.36,0.0,94.0,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,942.478,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.922,0.0,4093.36,0.0,94.0,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,1100.33,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.902,0.0,4093.36,0.0,93.9999,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,1263.95,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.882,0.0,4093.36,0.0,93.9998,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,1432.32,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.862,0.0,4093.36,0.0,93.9997,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,1605.57,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.842,0.0,4093.36,0.0,93.9997,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,1783.85,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.822,0.0,4093.36,0.0,93.9996,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,1967.31,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.802,0.0,4093.36,0.0,93.9995,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,2156.5,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.782,0.0,4093.36,0.0,93.9994,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,2359.56,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
-0.00878781,-0.762,0.0,4093.36,0.0,93.9993,0,0.0,200.0,200.0,10.7679,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.7729,200.0,30.2747,20.0024,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10,2580.78,0.00214011,-0.00106325,0.00252507,8.00036,8.26313,10.3673,13.7753,22.84,29.9294,43.8851,83.4151,200.0,200.0,200.0,51.0209,24.244,15.9793,11.9849,7.0626,5.26055,4.15098,4.0001,-0.333343,0.0,0.0,0.0,0.0,0.344723,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.6399999856948853,1,-0.016138831153512
